,core_ret,sat_pocket_ret,portfolio_ret
2021-01-04,0.00556776438657125,0.004001767071149964,0.005176265057715929
2021-01-05,-0.0024169066603049183,0.002105294385023654,-0.0012876773901778053
2021-01-06,0.007595857740472445,0.00029353491359729046,0.005766215249853843
2021-01-07,0.003989878144701642,-0.00284094223044665,0.0022876863495832037
2021-01-08,-0.0015739410854239688,-0.0017723972920276054,-0.001623141907254034
2021-01-11,-0.0038748264839009172,-0.004444129534527626,-0.004015945731183468
2021-01-12,-0.002676980717806421,0.0010031855386224563,-0.001765130656911815
2021-01-13,0.0024529287304928538,-0.0008943945359632538,0.0016212485116102585
2021-01-14,0.00048142607156376194,-0.0018042164567436026,-8.504128823129799e-05
2021-01-15,-0.003963305313324672,0.0014448816998883212,-0.0026252596066472077
2021-01-18,0.0030615830657265697,-0.0017708915736928993,0.0018610959103199107
2021-01-19,-0.0005098040426171346,0.0001404726761321956,-0.0003488474175987925
2021-01-20,0.0016328864915642338,0.001482791956668494,0.0015957168766279708
2021-01-21,-0.0020184832342984294,0.0018273441360583422,-0.0010662046859707505
2021-01-22,0.000533606430050293,-0.0011716091947859796,0.000110149062070159
2021-01-25,-0.007925899421629357,-0.0008363672420082821,-0.00616760737228107
2021-01-26,0.003806979839859892,0.0002512071665481859,0.002920373377220014
2021-01-27,-0.004131744388266578,-0.0010136177675942105,-0.0033563310233886766
2021-01-28,0.004409600828367388,-0.00038358836595188845,0.003214832332174962
2021-01-29,-0.006987998737918222,-0.0008022331634407119,-0.005451641957338025
2021-02-01,0.004097251633445875,-0.004871860974684524,0.0018591817103803087
2021-02-02,0.006031048695174901,-0.0003656907997276905,0.00444558915737942
2021-02-03,0.002654650868847197,-0.00015108492955072782,0.0019625681435020163
2021-02-04,-0.0006839380030344566,-0.002220259664988194,-0.0010620985978647586
2021-02-05,0.0019780764951711216,-9.650094846748537e-05,0.0014680180295805307
2021-02-08,0.004296280217142234,-0.000846961401925703,0.003033731226385985
2021-02-09,-0.0026937924451534423,0.0049753777007932425,-0.0008184690990453447
2021-02-10,-0.0008906278580881333,-0.0010857350099465213,-0.0009386135763810907
2021-02-11,0.003729498883008553,0.0009948306167578685,0.0030570186809855144
2021-02-12,-0.001047328715778728,-0.0028493748167860277,-0.0014895574550615816
2021-02-15,0.0036933257519502494,2.7157074948669752e-05,0.002794859719049467
2021-02-16,-0.002084076698488313,0.0008719207571867242,-0.001361651358178229
2021-02-17,-0.004749654613204646,-0.0031233173884212093,-0.00435130006151305
2021-02-18,-0.01054033237977492,-0.0023035701010209516,-0.008520334004751511
2021-02-19,0.004297332384286978,-0.002549322157498348,0.002607718343414826
2021-02-22,-0.004541232204283374,0.0027585429767329186,-0.002749063184898119
2021-02-23,-0.0038538032913929543,0.0002729350417850684,-0.002835051628867864
2021-02-24,0.002583236417761814,-0.001020351675365754,0.0016908600604871793
2021-02-25,0.004484598125017669,-0.00025328072188929746,0.003314506709918778
2021-02-26,-0.0051684310313178106,-0.0019196162429088316,-0.0043689398251061775
2021-03-01,0.005941727118172535,-0.00276613444043341,0.003793563598326802
2021-03-02,7.32419373978832e-05,-0.0010450567516572787,-0.00020083105967223206
2021-03-03,-0.00251377171986511,-0.0003563165767237598,-0.001985468403572217
2021-03-04,-0.0023956686198930432,-0.0019970176986362316,-0.002297890271916064
2021-03-05,-0.004790614173490804,-0.0009251413639035417,-0.003842231754473601
2021-03-08,0.007256183261332483,-0.0008475437381088215,0.005262135400550085
