,core,satellite
2021-01-01,0.0,0.0
2021-01-04,-0.0014856273774242,0.0
2021-01-05,0.0008506153953797,0.0032975276471274
2021-01-06,0.0032079170060922,0.002201163334812
2021-01-07,0.0028709344541931,0.0078494587991005
2021-01-08,0.0026569952508945,0.0035296765964664
2021-01-11,-0.0005324567644156,0.0
2021-01-12,-0.0025301031454647,0.0012901701498103
2021-01-13,0.0032991833730578,-0.002163983152847
2021-01-14,0.0017207744351397,0.0013376777941976
2021-01-15,-0.0022784704258196,-0.0021996460441891
2021-01-18,-0.0008069837095767,0.0
2021-01-19,-0.0001159575748166,0.0011458972784938
2021-01-20,0.0044503428211723,0.0032460350132627
2021-01-21,-0.0017565675868955,-0.0001646983259585
2021-01-22,-0.0024683061027382,0.0023510549317027
2021-01-25,0.0014982441922955,0.0
2021-01-26,0.0009615399223388,-0.0039059748485935
2021-01-27,-0.0046421683248709,-0.0078902785267273
2021-01-28,0.000548498826824,0.0033170975224953
2021-01-29,-0.0074176963183529,-0.0026893025369685
2021-02-01,0.0044225662319767,0.0
2021-02-02,0.0065915494347912,0.0089619924221327
2021-02-03,0.000376759412386,0.0024356961945688
2021-02-04,0.0028113327333546,0.0014797377057942
2021-02-05,0.0009416454219364,-0.0007984987550514
2021-02-08,0.0015892876475626,0.0
2021-02-09,-0.0005526587756307,0.0042571957010826
2021-02-10,-0.0012815671022692,-0.0003879389696937
2021-02-11,0.0024050205524639,0.0040437068372774
2021-02-12,-0.0003809137646268,0.0001987580699801
2021-02-15,0.0016697330404622,0.0
2021-02-16,-0.002064010080818,0.0013004071982136
2021-02-17,-0.0017509184272656,-0.0036488463760275
2021-02-18,-0.0032362696838677,-0.0032222721065377
2021-02-19,0.0009760244357538,0.0033278141185233
2021-02-22,-0.0023180032315967,0.0
2021-02-23,-0.0040999356285392,-0.0029997707504229
2021-02-24,0.0028956811445001,-0.0013051498585502
2021-02-25,-0.0064674853696286,-0.003865655797902
2021-02-26,-0.0012542665795172,0.0026685860492635
2021-03-01,0.0095706747071143,0.0
2021-03-02,-0.0019260215037055,-0.0063969709522286
2021-03-03,-0.0027546610741318,-0.0041810476390165
2021-03-04,-0.0021560955254591,-0.0105346331286266
2021-03-05,-0.0041350567104657,-0.0008432798882419
2021-03-08,0.0099977176957127,0.0
2021-03-09,0.0025994481138723,0.0068512668660416
2021-03-10,0.0009096791889476,0.0002892695854719
2021-03-11,0.0038633277742519,0.0101207019386209
2021-03-12,-0.0031163846985473,0.0047484423044859
2021-03-15,0.0030379151953849,0.0
2021-03-16,0.0031184861419489,-0.0016522925476747
2021-03-17,-0.0045914698831252,0.0017189314750289
2021-03-18,0.0004547952909694,-0.0037156456318132
2021-03-19,-0.0014596428239611,-0.0019067013518623
2021-03-22,0.0016611697173532,0.0
2021-03-23,0.0016484515755592,-0.0074434376213239
2021-03-24,0.0007158683817749,-0.0064149609327188
2021-03-25,-0.0005846078298567,0.0036232103515203
2021-03-26,0.0022649954886919,0.0123202014417256
2021-03-29,0.0001821179384142,0.0
2021-03-30,0.0005257740216875,0.0017612421166874
2021-03-31,0.002220213370483,0.0037633069695289
2021-04-01,0.0029165292805407,0.0030637038113175
2021-04-02,0.0,0.0
2021-04-05,0.0,0.0
2021-04-06,0.0016954298146894,0.0
2021-04-07,-0.0015776906818554,0.0003758749661668
2021-04-08,0.0024959296498157,0.0025482368232667
2021-04-09,-0.0006775188554635,-0.0004453318748345
2021-04-12,-0.0005505080081439,0.0
2021-04-13,0.0005668042433314,-0.0047146633319943
2021-04-14,-0.0008084761005229,-0.0016776738674912
2021-04-15,0.0032138600632463,-0.0024794098589491
2021-04-16,0.000214883199335,0.0012752718113803
2021-04-19,-0.0035049437921243,0.0
2021-04-20,-0.0039006853241855,-0.0086011811308036
2021-04-21,0.003199428272262,0.0052988713166203
2021-04-22,0.0024006715599578,-0.001677565644098
2021-04-23,-0.0012523325418555,0.0083434241055709
2021-04-26,0.0007766196345308,0.0
2021-04-27,-0.0008333038914022,0.0019893385637061
2021-04-28,-0.0008444762485247,0.0034449116045135
2021-04-29,-0.0023240955653518,0.001882288783341
2021-04-30,0.000893378337544,-0.0072335059834595
2021-05-03,0.0014235695897949,0.0
2021-05-04,-0.0031693855117646,-0.00319876970396
2021-05-05,0.0043208427278712,0.0021240003932175
2021-05-06,-0.0022377154608522,-0.0074992713578384
2021-05-07,0.0016264908848676,0.0070716926364688
2021-05-10,-0.0003553737685628,0.0
2021-05-11,-0.0087459197012039,0.000745726010672
2021-05-12,-0.0029735807289636,-0.0076738725351986
2021-05-13,0.0001482768264746,-0.0030812804570234
2021-05-14,0.0028612899939635,0.0011624560615437
2021-05-17,-0.0019549664218521,0.0
2021-05-18,0.0001170938478992,0.0030380993010188
2021-05-19,-0.005325529470155,-0.0020813277486835
2021-05-20,0.0059900121327171,0.0063293421793162
2021-05-21,0.0024983955204374,-0.0006289699506919
2021-05-24,0.0,0.0
2021-05-25,0.0022544059632764,-0.0005796102295611
2021-05-26,0.0026683382239869,0.0020106633898374
2021-05-27,-6.147641265645959e-05,0.0052705618118011
2021-05-28,0.0020261312214712,0.0008268626303923
2021-05-31,-0.0022764710284675,0.0
2021-06-01,0.001309288637556,0.0
2021-06-02,0.0023068069040782,-0.0010570759269177
2021-06-03,-0.0004980325467079,-0.0008204318879841
2021-06-04,0.0021276393027886,-0.0008062702249721
2021-06-07,-0.0008153602978941,0.0
2021-06-08,0.0014921332855314,0.0013291877186163
2021-06-09,0.0013750974484359,-0.0041851529783441
2021-06-10,0.0008298769114678,-0.0015422956281594
2021-06-11,0.0036971971930858,0.0004960795568966
2021-06-14,-0.0015157422694693,0.0
2021-06-15,-0.0003363917677117,-0.0012710728138066
2021-06-16,0.0014874514846807,0.0011555803250152
2021-06-17,0.0023650249153907,-0.0059541441196298
2021-06-18,-0.0031599117990136,-0.0093589490500925
2021-06-21,0.0003245610795823,0.0
2021-06-22,0.0016746506955854,0.0016340248596414
2021-06-23,-0.000642214729891,0.0010452391822944
2021-06-24,0.0026409976622696,0.0007240125230296
2021-06-25,-0.0010064787739595,0.0027116523041135
2021-06-28,0.0010295390236133,0.0
2021-06-29,0.0017654526051502,0.0028214078389713
2021-06-30,0.0014741079905282,-0.0024400379595098
2021-07-01,0.0011464371891678,0.0017318939377283
2021-07-02,0.0030747484349699,-0.0006068764749067
2021-07-05,0.0001942839925289,0.0
2021-07-06,0.0014920032057919,-0.0002064116622589
2021-07-07,0.0031800553582346,-0.0024736699301694
2021-07-08,-0.0046334160989591,-0.0066918068889597
2021-07-09,0.0030378212443452,0.0078476506144346
2021-07-12,0.0017887297363186,0.0
2021-07-13,0.0021130467451853,0.0011869790407588
2021-07-14,-0.0008085441379898,-0.0008406621831349
2021-07-15,-0.0010350652712166,-0.0007792713812585
2021-07-16,-0.0003188621382962,-0.001668175219432
2021-07-19,-0.0056968613077103,0.0
2021-07-20,0.0052800986020932,0.0015575831474623
2021-07-21,0.0020154102746012,0.0055332014215473
2021-07-22,0.0026909377310612,0.0027644914838428
2021-07-23,0.0042329744194396,0.0022968659370279
2021-07-26,-0.0007870205817675,0.0
2021-07-27,-0.0024624525167198,-0.0022579158919965
2021-07-28,0.0025334052545068,0.0022077873026729
2021-07-29,0.000301366725388,0.0007555728045827
2021-07-30,-0.0011669731363869,0.0002622984057504
2021-08-02,0.0021761161104578,0.0
2021-08-03,-0.0003332174043059,0.0
2021-08-04,0.0018533547551205,-0.0003849039196093
2021-08-05,0.0018011687855712,0.0031461557941299
2021-08-06,0.0004922629200861,-0.0004874154848961
2021-08-09,0.0005797898894755,0.0
2021-08-10,0.0013856196798549,0.000185867604794
2021-08-11,-0.0003808849578772,-0.000984972062308
2021-08-12,0.0009436897757632,-0.000157941474293
2021-08-13,-0.0002920829366127,-0.0010035558300578
2021-08-16,-0.0012210532648023,0.0
2021-08-17,0.000758404747695,-0.0011696462103289
2021-08-18,0.0005668438274701,0.0014052760771175
2021-08-19,-0.003502840291566,-0.0011612864828767
2021-08-20,0.0025983294136203,-0.000339732773653
2021-08-23,0.0015686068180072,0.0
2021-08-24,0.0004913776480865,0.0005868720512035
2021-08-25,-0.0024837242603276,-0.0004111451042582
2021-08-26,-0.0019569623513581,-0.0004170498513168
2021-08-27,0.0018033354308588,0.0007853764481348
2021-08-30,0.002223461561846,0.0
2021-08-31,-0.0028651442958836,-0.0009451843216834
2021-09-01,-0.0004614226749499,0.0019883049921856
2021-09-02,0.0014254598767069,0.0031614250180061
2021-09-03,-0.0015113830249589,0.0022190183467486
2021-09-06,0.0023419604756934,0.0
2021-09-07,-0.0038155872357198,-0.0015211053365445
