Date,alpha_monthly,alpha_annualized,beta
2013-12-31,-0.0037216889380417635,-0.04375734970894163,0.395071155693322
2014-01-31,-0.0006778363335076434,-0.008103779916258103,0.16823903334129067
2014-02-28,-0.0008486514689729817,-0.01013641802189702,0.2953574466254577
2014-03-31,-0.0019974737170000405,-0.02370809660559292,0.23865036937566367
2014-04-30,-0.004053512038793557,-0.0475722210203986,0.04616164976376981
2014-05-31,-0.0043276837034630245,-0.05071375971011394,-0.005749229846509271
2014-06-30,-0.0019519397545578986,-0.023173441495647484,0.032517098032088396
2014-07-31,-0.006631920236760973,-0.07674343047335963,0.7544815209137672
2014-08-31,-0.01697835603709269,-0.18575151028573644,3.288959586857602
2014-09-30,-0.014861417860825624,-0.16445866779871265,2.5920050946249225
2014-10-31,-0.017402170593618732,-0.18995414302551727,2.5680001944352595
2014-11-30,-0.019589152116864933,-0.2113264155397082,2.9069365485736993
2014-12-31,-0.015830388584192445,-0.17426743535698652,2.9012785044102825
2015-01-31,-0.012617834267977024,-0.14133582482569274,1.7870553493907375
2015-02-28,-0.013349779830814078,-0.14894308339832874,1.7807802593379976
2015-03-31,-0.01351670415536204,-0.15066928767570664,1.840640528334743
2015-04-30,-0.013351152364006056,-0.14895729019508674,1.8099345189946257
2015-05-31,-0.010686199508833497,-0.1209596553156077,1.545674639993247
2015-06-30,-0.012656700086067051,-0.14174132692321517,1.9416427891661832
2015-07-31,-0.013907288577059012,-0.15469588067658624,1.6924642652690984
2015-08-31,-0.012188021646959766,-0.13683969836769716,0.9433563355963657
2015-09-30,-0.013734907112678893,-0.15292093669154405,0.8993306754925814
2015-10-31,-0.012535261787074325,-0.140473731249658,1.0761689798374714
2015-11-30,-0.01404072675478666,-0.15606749932892372,0.9466267329045042
2015-12-31,-0.013059662651003893,-0.14593525844531985,0.7548740426368163
2016-01-31,-0.010047370099726416,-0.11412394151574201,-0.17854947183354414
2016-02-29,-0.0068105940732240975,-0.07873421761353683,0.9980349132850126
2016-03-31,-0.007409882817820648,-0.08538280602865223,0.8287337150432894
