,core_days_full,common_days,comparable_days,core_no_satellite_live_days,sat_missing_active_days,coverage_vs_core,coverage_vs_common
2021,260,240,162,20,78,0.6230769230769231,0.675
2022,260,260,165,0,95,0.6346153846153846,0.6346153846153846
2023,260,260,173,0,87,0.6653846153846154,0.6653846153846154
2024,262,262,169,0,93,0.6450381679389313,0.6450381679389313
2025,261,261,185,0,76,0.7088122605363985,0.7088122605363985
