,core_portfolio_return
2011-01-31,-0.005232998589785431
2011-02-28,0.003163689417579718
2011-03-31,0.011091478848495484
2011-04-30,0.005890589694651505
2011-05-31,0.0009175513856771733
2011-06-30,0.0061663508441314185
2011-07-31,-0.012965686129095655
2011-08-31,-0.020115349343382216
2011-09-30,-0.012684326457564676
2011-10-31,0.002736109494246186
2011-11-30,-0.004414477279122586
2011-12-31,0.0043541336090631155
2012-01-31,0.013255184814483512
2012-02-29,0.005664642778958395
2012-03-31,0.006862399655039209
2012-04-30,0.001214269022092207
2012-05-31,-0.0002820369499193509
2012-06-30,-0.008552548095966506
2012-07-31,0.010188688525076817
2012-08-31,0.00731373820496839
2012-09-30,0.0027618590410600774
2012-10-31,0.006120980930620412
2012-11-30,0.004277085271910064
2012-12-31,-0.002937008219380588
2013-01-31,0.006495205902032231
2013-02-28,0.00962781403807167
2013-03-31,0.002690557206431743
2013-04-30,0.006897969153428329
2013-05-31,0.001919196607265583
2013-06-30,-0.014228299087838958
2013-07-31,0.008019301341734897
2013-08-31,-0.004061172256683565
2013-09-30,0.005712205527043768
2013-10-31,0.010285767757718833
2013-11-30,0.0006489929715300935
2013-12-31,-0.003969501299382228
2014-01-31,-0.00020811247639684893
2014-02-28,0.0074306783399997745
2014-03-31,0.0009976103516455836
2014-04-30,0.003853103843387551
2014-05-31,0.005149517808714865
2014-06-30,0.001151106745490793
2014-07-31,0.00163112018356526
2014-08-31,0.006259685358918743
2014-09-30,0.0015504740122331828
2014-10-31,0.00459032604872367
2014-11-30,0.002630696624816853
2014-12-31,-0.0007906857962455272
2015-01-31,0.0020899821712561106
2015-02-28,0.00429945187603864
2015-03-31,0.0024350259091894255
2015-04-30,-0.0006029308764197161
2015-05-31,-0.002128223183519573
2015-06-30,-0.010215392167088333
2015-07-31,0.005659188060496145
2015-08-31,-0.005166968377914527
2015-09-30,-0.0038083022626916874
2015-10-31,0.003994900931055589
2015-11-30,0.003650128350523252
2015-12-31,-0.007916408474463843
2016-01-31,-0.013309402446324281
2016-02-29,0.010014238733604408
2016-03-31,0.014707633372970097
2016-04-30,-0.003449798756357092
2016-05-31,0.007118433920164424
2016-06-30,0.025040987447608076
2016-07-31,0.002850979098898865
2016-08-31,0.0019959752979945566
2016-09-30,0.0017823779474717139
2016-10-31,-0.0014259820651029154
2016-11-30,-0.005325424410509427
2016-12-31,0.003787190467684276
2017-01-31,-0.002750335887669375
2017-02-28,0.008855471084983302
2017-03-31,0.004121717409975245
2017-04-30,-0.009652894499689979
2017-05-31,0.010107475630756868
2017-06-30,-0.0009705515274767151
2017-07-31,0.005086853694886928
2017-08-31,0.008915666184648563
2017-09-30,-0.008315299696133205
2017-10-31,0.015216930045569566
2017-11-30,-0.00024842685155745947
2017-12-31,0.009781656168320607
2018-01-31,-0.007105424974205743
2018-02-28,-0.001948477364465906
2018-03-31,-0.02152664022241846
2018-04-30,0.01835514384771164
2018-05-31,0.019076603816441606
2018-06-30,0.006214415674647977
2018-07-31,0.01368739916249817
2018-08-31,0.012000691080169323
2018-09-30,-0.0002567389243014473
2018-10-31,-0.024139506248251674
2018-11-30,0.0022935018517336037
2018-12-31,-0.031734536120828216
2019-01-31,0.0190626980941222
2019-02-28,0.008878123323758702
2019-03-31,0.0065091991444696795
2019-04-30,0.0013278027956318272
2019-05-31,0.002954474136863894
2019-06-30,0.0022276222251691458
2019-07-31,0.004634638032385396
2019-08-31,0.004603191945346197
2019-09-30,-0.001026754911576666
2019-10-31,-0.000882711406336889
2019-11-30,0.0017328943431254018
2019-12-31,-9.466012306447169e-06
2020-01-31,0.000561076495907864
2020-02-29,-0.0045468137461625036
2020-03-31,-0.00752841040681218
2020-04-30,0.002712484367681567
2020-05-31,0.0032263631894666744
2020-06-30,0.0008663356355895768
2020-07-31,-0.0010894247256328926
2020-08-31,0.0017569648112054637
2020-09-30,0.005095525876758433
2020-10-31,-0.018309000781830065
2020-11-30,0.04409361340254048
2020-12-31,0.01072038096827943
2021-01-31,-0.004211049172712422
2021-02-28,0.0038822742540443045
2021-03-31,0.021685302289875308
2021-04-30,0.021151649596150568
2021-05-31,-0.004734988351015157
2021-06-30,0.01916845720819471
2021-07-31,0.006283601265942407
2021-08-31,0.016503220980784272
2021-09-30,-0.008983710584036575
2021-10-31,0.01680669200994056
2021-11-30,0.007853502858537365
2021-12-31,0.009596805374940898
2022-01-31,-0.028320668407711302
2022-02-28,-0.007175230063650395
2022-03-31,0.02754978763704763
2022-04-30,-0.01684591882004094
2022-05-31,-0.010120455912263293
2022-06-30,-0.02606436684154545
2022-07-31,0.03596627475841263
2022-08-31,0.0055863782448246635
2022-09-30,-0.020365481397041196
2022-10-31,0.011123804202147536
2022-11-30,0.004292757663746816
2022-12-31,-0.022295963609532454
2023-01-31,0.0025889837108785674
2023-02-28,0.004641268237779661
2023-03-31,0.005531556478398869
2023-04-30,-0.000520235285902837
2023-05-31,0.00024868716561332604
2023-06-30,0.002019649211379315
2023-07-31,0.0017604290081185692
2023-08-31,0.0006993290028307619
2023-09-30,0.001283586404185133
2023-10-31,0.0012367589257740175
2023-11-30,0.005897203799633877
2023-12-31,0.005006646964947237
2024-01-31,0.0026409662494479846
2024-02-29,0.002739895737108755
2024-03-31,0.003600527420932753
2024-04-30,-0.001436586551978869
2024-05-31,0.002698909045781628
2024-06-30,0.0025507643683404524
