Date,satellite_portfolio_return
2006-02-28,0.0
2006-03-31,0.0
2006-04-30,0.0
2006-05-31,0.0
2006-06-30,0.0
2006-07-31,0.0
2006-08-31,0.0
2006-09-30,0.0
2006-10-31,0.0
2006-11-30,0.0
2006-12-31,0.0
2007-01-31,0.0
2007-02-28,0.025451202827030173
2007-03-31,-0.011131249335096238
2007-04-30,0.02053542010936238
2007-05-31,-0.023103227112383773
2007-06-30,-0.01937754431980876
2007-07-31,0.023650293322754035
2007-08-31,0.011095846137414656
2007-09-30,0.1050812664749683
2007-10-31,0.0695143580717299
2007-11-30,-0.016535271004099905
2007-12-31,0.06647697115798756
2008-01-31,0.10841623260567879
2008-02-29,0.052297578769114894
2008-03-31,-0.059991647169457374
2008-04-30,-0.0415883418198143
2008-05-31,0.009232491728512704
2008-06-30,0.0451687217321981
2008-07-31,-0.014442009549096912
2008-08-31,-0.09291743535130026
2008-09-30,0.04112104574714248
2008-10-31,-0.1613965370422935
2008-11-30,0.1257359360970265
2008-12-31,0.07732535516442862
2009-01-31,0.05536293459751551
2009-02-28,0.014456244990885825
2009-03-31,-0.02536973490015282
2009-04-30,-0.03334074188003566
2009-05-31,0.10232612179073874
2009-06-30,-0.052182918942994094
2009-07-31,0.023799058583926502
2009-08-31,0.0005356513398515617
2009-09-30,0.0583511441028417
2009-10-31,0.03722812708124823
2009-11-30,0.12786502259277088
2009-12-31,-0.07203391451937646
2010-01-31,-0.012580360682460823
2010-02-28,0.03274821867388655
2010-03-31,-0.004386396377547008
2010-04-30,0.058834362933984474
2010-05-31,0.030513146883171416
2010-06-30,0.023553189068376224
2010-07-31,-0.050871157346166984
2010-08-31,0.05706125282865315
2010-09-30,0.047755584400488216
2010-10-31,0.03682269814892791
2010-11-30,0.021112978094167678
2010-12-31,0.024368653791006833
2011-01-31,-0.06379762129208244
2011-02-28,0.05998312803425154
2011-03-31,0.01598138086384293
2011-04-30,0.08944654978008071
2011-05-31,-0.017916885312225905
2011-06-30,-0.024325042799353547
2011-07-31,0.08417803620638908
2011-08-31,0.12274943937515781
2011-09-30,-0.11062347246832638
2011-10-31,0.0587118747477946
2011-11-30,0.016672693952307194
2011-12-31,-0.10662433944055594
2012-01-31,0.11395480912860867
2012-02-29,-0.029649780549572347
2012-03-31,-0.013208340481005276
2012-04-30,-0.0014803247076433657
2012-05-31,-0.06338034010471139
2012-06-30,0.02354575543588089
2012-07-31,0.008376847936764742
2012-08-31,0.04939609851235338
2012-09-30,0.046705627280061
2012-10-31,-0.029437416816341377
2012-11-30,-0.004675410721908135
2012-12-31,-0.02426979045607558
2013-01-31,-0.005061148639644464
2013-02-28,-0.05086846838387371
2013-03-31,0.009477104236877087
2013-04-30,-0.0756231330952718
2013-05-31,-0.06198785346133606
2013-06-30,-0.11058839427335088
2013-07-31,0.0743010530498811
2013-08-31,0.052047484216675155
2013-09-30,-0.047838379698351585
2013-10-31,-0.003432632525768975
2013-11-30,-0.05511195422936577
2013-12-31,-0.03794527189279151
2014-01-31,0.034188714238774454
2014-02-28,0.0627030280482701
2014-03-31,-0.031421423365686874
2014-04-30,0.0049348807324614
2014-05-31,-0.03051039187154414
2014-06-30,0.06319017654797743
2014-07-31,-0.03631673024297155
2014-08-31,0.0038090706137288155
2014-09-30,-0.061763293138879294
2014-10-31,-0.03054810644807593
2014-11-30,-0.00488197260677703
2014-12-31,0.013112132840068735
2015-01-31,0.08689905756357263
2015-02-28,-0.05905219494812319
2015-03-31,-0.021522037888980217
2015-04-30,-0.0016716737223684275
2015-05-31,0.005552104050766671
2015-06-30,-0.015162101232906178
2015-07-31,-0.06620986259282224
2015-08-31,0.03707232801234017
2015-09-30,-0.01801138660144541
2015-10-31,0.022833636790845047
2015-11-30,-0.06752062833262484
2015-12-31,-0.004513334897339294
2016-01-31,0.05410997351969926
2016-02-29,0.10930343875618398
2016-03-31,-0.008428860461434318
2016-04-30,0.051088083708025867
2016-05-31,-0.06138296703293311
2016-06-30,0.08969501879279118
2016-07-31,0.01984656031160892
2016-08-31,-0.03256316550912575
2016-09-30,0.006892135107908315
2016-10-31,-0.02944919584699579
2016-11-30,-0.08356570639157301
2016-12-31,-0.019149882681417818
2017-01-31,0.05419215772584596
2017-02-28,0.031847686784806095
2017-03-31,-0.00427746474772539
2017-04-30,0.01726748147982482
2017-05-31,-0.0012419798017191397
2017-06-30,-0.02155534773928114
2017-07-31,0.02313170169958645
2017-08-31,0.04198757511241591
2017-09-30,-0.03369891808976022
2017-10-31,-0.007484813689786707
2017-11-30,0.003563440057186007
2017-12-31,0.021057003170010358
2018-01-31,0.03234937283169237
2018-02-28,-0.020759902030566435
2018-03-31,0.006320007324218668
2018-04-30,-0.009539745360543916
2018-05-31,-0.011959209467577336
2018-06-30,-0.03614944763120931
2018-07-31,-0.022418909632539674
2018-08-31,-0.021381117106768266
2018-09-30,-0.006607347245927042
2018-10-31,0.02119545356837582
2018-11-30,0.003386881324189961
2018-12-31,0.04942010593064916
2019-01-31,0.028865979381443196
2019-02-28,-0.006092201492829408
2019-03-31,-0.01596899557748621
2019-04-30,-0.006638842503124187
2019-05-31,0.017574298155486723
2019-06-30,0.08002914919848991
2019-07-31,7.514839229982861e-05
2019-08-31,0.0791231345612986
2019-09-30,-0.0339478600543478
2019-10-31,0.02563546974700759
2019-11-30,-0.03208588289288572
2019-12-31,0.03655877893383952
2020-01-31,0.04499655849690343
2020-02-29,-0.006361728631845698
2020-03-31,-0.002224031676743232
2020-04-30,0.07261060302877431
2020-05-31,0.02588161543682088
2020-06-30,-6.0979992503623626e-05
2020-07-31,0.0672650631660672
2020-08-31,-0.005120632046138002
2020-09-30,-0.03379975181615273
2020-10-31,-0.0017735284993167792
2020-11-30,-0.012710521283674005
2020-12-31,0.04952450016397762
2021-01-31,-0.011533914567169715
2021-02-28,0.009572487848322868
2021-03-31,0.016028730375385533
2021-04-30,0.02679212786175348
2021-05-31,0.045304931022774816
2021-06-30,-0.030915395337359076
