,Cumul total,Ret ann.,Vol ann.,Sharpe (rf=0),Max DD,Calmar
Portefeuille global,0.4097784298332465,0.0722876500786156,0.08920236562773781,0.8103781729319685,-0.13947626747074604,0.5182792125820066
Core choisi,0.5119244356138615,0.08763993822388683,0.116738983615844,0.7507341207653978,-0.17863388877758568,0.490612049167255
Satellite dynamique,0.10810965689530794,0.02108139543216958,0.03900781560317891,0.5404402965453817,-0.046062042479342646,0.4576739175563896
