,portfolio_return
2012-01-31,0.05462209667237102
2012-02-29,-0.005828056831879898
2012-03-31,0.0009994049309887565
2012-04-30,0.0004838842571370259
2012-05-31,-0.024409055101008312
2012-06-30,0.0013245952616615202
2012-07-31,0.011876647751038676
2012-08-31,0.024883448951835092
2012-09-30,0.02010265454575748
2012-10-31,-0.006921553742391714
2012-11-30,0.0024762734737381665
2012-12-31,-0.014527553083294915
2013-01-31,0.005394435507906193
2013-02-28,-0.017042141377023978
2013-03-31,0.00945304263113058
2013-04-30,-0.03571672304236346
2013-05-31,-0.034505836826629895
2013-06-30,-0.08627265528698494
2013-07-31,0.046776412939786426
2013-08-31,0.019192374080829893
2013-09-30,-0.016106153727013628
2013-10-31,0.01008576750498748
2013-11-30,-0.025846780193138894
2013-12-31,-0.022506720574178296
2014-01-31,0.01594406605835419
2014-02-28,0.03699853292625148
2014-03-31,-0.012277010811005368
2014-04-30,0.005898987235853926
2014-05-31,-0.007984337398440323
2014-06-30,0.02920931343943531
2014-07-31,-0.018560337653971342
2014-08-31,0.01104900187072346
2014-09-30,-0.034887312266201176
2014-10-31,-0.011902407400632501
2014-11-30,0.0007537917106773197
2014-12-31,0.006760319589297521
2015-01-31,0.0550654095779021
2015-02-28,-0.02941208434241982
2015-03-31,-0.00950418646052296
2015-04-30,-0.0018471074604086198
2015-05-31,0.0003517499735326596
2015-06-30,-0.02339880977366728
2015-07-31,-0.031803054270998776
2015-08-31,0.015009641078323763
2015-09-30,-0.01613845512863548
2015-10-31,0.019293043377984702
2015-11-30,-0.0354021973088424
2015-12-31,-0.013790972802652839
2016-01-31,0.013832820686965636
2016-02-29,0.0796019974807565
2016-03-31,0.014526876037826514
2016-04-30,0.024019000789406785
2016-05-31,-0.024415806765283973
2016-06-30,0.07774559719366174
2016-07-31,0.011386201826345076
2016-08-31,-0.012729150276297497
2016-09-30,0.004898916895444839
2016-10-31,-0.014902132561743567
2016-11-30,-0.04232597641606309
2016-12-31,-0.004243571509629734
2017-01-31,0.019810088512798675
2017-02-28,0.02159591192722598
2017-03-31,0.0025006643853438463
2017-04-30,-0.002466873050585695
2017-05-31,0.010618828261619459
2017-06-30,-0.01171957492607951
2017-07-31,0.0210006161925935
2017-08-31,0.03767447772595744
2017-09-30,-0.0318607704284426
2017-10-31,0.01681281384992528
2017-11-30,0.0017902664421312398
2017-12-31,0.02632852053765502
2018-01-31,0.009462028735127397
2018-02-28,-0.0151838095285921
2018-03-31,-0.0263452919168546
2018-04-30,0.019973354170469897
2018-05-31,0.019531719662471858
2018-06-30,-0.012989486634218521
2018-07-31,0.005711013047973579
2018-08-31,0.003972297248176101
2018-09-30,-0.00432384284157816
2018-10-31,-0.02107803660652676
2018-11-30,0.00524303138694098
2018-12-31,-0.014776287010770023
2019-01-31,0.04400736496063694
2019-02-28,0.00877405175756454
2019-03-31,-0.000468518544234282
2019-04-30,-0.0021243815879899404
2019-05-31,0.01468084268490134
2019-06-30,0.05113616063433068
2019-07-31,0.006533582280719316
2019-08-31,0.0539183494602637
2019-09-30,-0.021806172908815917
2019-10-31,0.014145485879332977
2019-11-30,-0.016825477655355858
2019-12-31,0.02192201494307467
2020-01-31,0.02778344219241296
2020-02-29,-0.010182576423734858
2020-03-31,-0.011874193575582859
2020-04-30,0.04736383993201868
2020-05-31,0.02004587772734572
2020-06-30,0.0011762818943231257
2020-07-31,0.0388338432837544
2020-08-31,-0.0006126284919952402
2020-09-30,-0.013146114862229857
2020-10-31,-0.02669671819415202
2020-11-30,0.05410474599335216
2020-12-31,0.04472323345397772
2021-01-31,-0.012815817582099178
2021-02-28,0.0111786766646557
2021-03-31,0.039976661431056715
2021-04-30,0.04568758615166273
2021-05-31,0.020553974922243742
2021-06-30,0.008286602889057179
2021-07-31,0.016302701121909798
2021-08-31,0.01205312484081882
2021-09-30,-0.01952897255007614
2021-10-31,0.0435969007240195
2021-11-30,-4.3934029012140594e-05
2021-12-31,0.02201768832959224
2022-01-31,-0.04172597907360686
2022-02-28,0.015134175887127059
2022-03-31,0.06871098315517292
2022-04-30,0.008615788509658343
2022-05-31,-0.026767356853660277
2022-06-30,-0.030652470108007243
2022-07-31,0.029115833548665086
2022-08-31,0.0033801899205936573
2022-09-30,-0.02096115180579392
2022-10-31,0.010255466075193273
2022-11-30,0.012871463034180415
2022-12-31,-0.018720096119884885
2023-01-31,0.013512694184095434
2023-02-28,-0.009430204607767917
2023-03-31,0.01486403073773434
2023-04-30,0.004800083398348261
2023-05-31,-0.0017372491002956398
2023-06-30,0.00700383043641834
2023-07-31,0.007976991433393579
2023-08-31,-0.0017006672121524802
2023-09-30,0.00244204200823192
2023-10-31,0.0209729608256835
2023-11-30,-0.0022205321690329603
2023-12-31,0.0006115719095453193
2024-01-31,0.00817569211259754
2024-02-29,0.017024099795658318
2024-03-31,0.04722128626095189
2024-04-30,0.020479835322233377
2024-05-31,0.00501609516116734
2024-06-30,0.010517632764522599
2024-07-31,0.00878919652321754
2024-08-31,-0.00329323882287722
2024-09-30,0.019848124067157736
2024-10-31,0.0058379392087225595
2024-11-30,-0.004559186715256301
2024-12-31,-0.0067828967246193195
2025-01-31,0.029335187781164937
2025-02-28,-0.005012210858869879
2025-03-31,0.0174436125131621
2025-04-30,0.01292659922337718
2025-05-31,0.0030313537695957197
2025-06-30,0.013027093245507718
2025-07-31,0.0007463340338317594
2025-08-31,0.015488788031583014
2025-09-30,0.04891538001067352
2025-10-31,0.025995986503396077
2025-11-30,0.018006076451914158
2025-12-31,0.007667740833192599
