,DWMAEIA ID Equity
2021-02-10,0.09297618323864477
2021-02-11,0.09324288803677513
2021-02-12,0.09167237984720386
2021-02-17,0.09210430383899922
2021-02-18,0.0912237353920648
2021-02-19,0.09121533459980927
2021-02-23,0.09030705070135789
2021-02-24,0.09180176156304853
2021-02-25,0.09353538280957813
2021-02-26,0.08593341393754067
2021-03-02,0.08624502717273262
2021-03-03,0.08444622537882944
2021-03-04,0.0860121408335128
2021-03-05,0.08622352507033594
2021-03-09,0.08881574960867103
2021-03-10,0.09487293261897733
2021-03-16,0.09482846434092963
2021-03-19,0.09524515881922255
2021-03-23,0.09452556852952537
2021-03-24,0.09437560017530199
2021-03-25,0.09456061375452536
2021-03-26,0.09614389969888995
2021-03-30,0.09627730067111692
2021-03-31,0.09585786908105691
2021-04-01,0.09602214808525564
2021-04-07,0.09664951072976212
2021-04-08,0.0972003318856761
2021-04-09,0.09832351471402832
2021-04-13,0.09831461632753594
2021-04-14,0.09850181176494721
2021-04-15,0.09888046758076177
2021-04-16,0.09841861502567249
2021-04-20,0.10145195062431688
2021-04-21,0.10190428623263653
2021-04-22,0.10192097238241485
2021-04-23,0.1002059611017226
2021-04-27,0.10013231985226437
2021-04-28,0.09948381424249975
2021-04-29,0.09716064203285418
2021-04-30,0.09631672083430619
2021-05-05,0.09791162485970474
2021-05-06,0.09387493025263188
2021-05-07,0.09482153570057776
2021-05-11,0.0957863914173577
2021-05-12,0.09651243891655205
2021-05-18,0.0957258714968821
2021-05-19,0.0972621647210756
2021-05-20,0.0988103141390254
2021-05-21,0.09788093534700086
2021-05-26,0.0971052877874465
2021-05-27,0.0971342897406113
2021-05-28,0.09715194611377537
2021-06-02,0.0974145895394378
2021-06-03,0.09593466953983944
2021-06-04,0.09612976949981722
2021-06-09,0.09468915727881991
2021-06-10,0.0946315823209078
2021-06-11,0.09406156054924139
2021-06-15,0.09411065342845891
2021-06-16,0.0929069343946423
2021-06-17,0.08985708551715373
2021-06-18,0.09327868282048897
2021-06-22,0.09471019349666555
2021-06-23,0.0946882120946635
2021-06-24,0.09354166029258022
2021-06-25,0.09346233590226341
2021-06-29,0.09086149039571972
2021-06-30,0.08801273060436524
2021-07-01,0.08195749950430614
2021-07-02,0.0820127081315256
2021-07-07,0.08111155552545606
2021-07-08,0.08802510127237705
2021-07-09,0.08886232661979442
2021-07-13,0.08856769499150573
2021-07-16,0.08943676347700591
2021-07-20,0.09080531230110006
2021-07-21,0.08626650032174324
2021-07-22,0.08738857175683441
2021-07-23,0.08804651930380024
2021-07-27,0.07985221472143206
2021-07-28,0.08177498919075991
2021-07-29,0.053971692150471776
2021-07-30,0.054617092937529726
2021-08-04,0.054885141598364086
2021-08-05,0.0562702977507834
2021-08-06,0.05504647504415359
2021-08-10,0.06350158277077225
2021-08-11,0.06392008108486345
2021-08-12,0.0617257377015907
2021-08-13,0.06036696371283035
2021-08-17,0.061134156349529706
2021-08-18,0.04833714409659346
2021-08-19,0.04459051560850342
2021-08-20,0.06774936828083329
2021-08-24,0.0744099439176932
2021-08-25,0.08210204003436777
2021-08-26,0.07998702936270653
2021-08-27,0.07858381377510368
2021-09-01,0.10060362861278109
2021-09-02,0.09969464283365488
2021-09-03,0.10412887718207056
2021-09-08,0.12352320005347811
2021-09-09,0.12128870333994045
2021-09-10,0.12953136660543368
2021-09-14,0.14012465818194456
2021-09-15,0.1356155561107916
2021-09-16,0.13613325445663838
2021-09-17,0.15210456784342333
2021-09-21,0.1514633652145872
2021-09-22,0.14024654458398392
2021-09-23,0.14281391015210457
2021-09-24,0.13960752945424904
2021-09-28,0.145338598932279
2021-09-29,0.14983696580377426
2021-09-30,0.15128470553065165
2021-10-01,0.15746792756358383
2021-10-05,0.16886944166283105
2021-10-06,0.17105382808895853
2021-10-07,0.19143792598013998
2021-10-08,0.19200044563198793
2021-10-13,0.19067950371323608
2021-10-14,0.18988634724684658
2021-10-15,0.1931488550088405
2021-10-19,0.2050334996201041
2021-10-20,0.21704643106590712
2021-10-21,0.22639137591009287
2021-10-22,0.22591682684254577
2021-10-27,0.25479096153200514
2021-10-28,0.25221807291288706
2021-10-29,0.2548316656119701
2021-11-03,0.2883315115512796
2021-11-04,0.2803940806077491
2021-11-05,0.2944134428056086
2021-11-09,0.29530527712341664
2021-11-10,0.295761155022933
2021-11-16,0.29707502819482773
2021-11-17,0.3012352409643446
2021-11-18,0.3182294046687236
2021-11-19,0.3139160179448294
2021-11-23,0.31998128638322837
2021-11-24,0.31994665023163643
2021-11-30,0.3688624795881839
2021-12-01,0.3822805222020311
2021-12-02,0.3977115849664122
2021-12-03,0.4019900674760732
2021-12-07,0.41801193483147786
2021-12-08,0.412065439756356
2021-12-09,0.413401683958339
2021-12-10,0.4133063644261481
2021-12-14,0.4138329561215606
2021-12-15,0.418436649199453
2021-12-16,0.4046413255053078
2021-12-17,0.4119678877616504
2021-12-21,0.417499226595772
2021-12-22,0.4103803266309084
2021-12-23,0.4230913218688813
2021-12-31,0.42385282600534135
2022-01-05,0.4244570080939238
2022-01-06,0.4069897793307875
2022-01-07,0.4095253751503247
2022-01-11,0.41422915496353074
2022-01-12,0.4092766086002894
2022-01-13,0.40739116597512076
2022-01-14,0.38932207008982983
2022-01-19,0.391247850419391
2022-01-20,0.3968321415108035
2022-01-21,0.4055332850565812
2022-01-25,0.4041808791594624
2022-01-26,0.4082232917576371
2022-01-27,0.4158389009209691
2022-01-28,0.4074307639937123
2022-02-01,0.41757074909215974
2022-02-02,0.42262849718633333
2022-02-03,0.3859936225829472
2022-02-04,0.3700617343786921
2022-02-08,0.3707493199729679
2022-02-09,0.36883450615718005
2022-02-10,0.3663932865873673
2022-02-11,0.36320192595088385
2022-02-15,0.36774047692599343
2022-02-16,0.37505592034133645
2022-02-17,0.37576314416286555
2022-02-18,0.3734763583321825
2022-02-23,0.38040408640669654
2022-02-24,0.37767690036517604
2022-02-25,0.38240209635686884
2022-03-01,0.3796682195286898
2022-03-02,0.38977288283091643
2022-03-03,0.38059122567718123
2022-03-04,0.3740256094319677
2022-03-08,0.32865880205146103
2022-03-09,0.33327965470430226
2022-03-10,0.32188696453715865
2022-03-11,0.30257020465620504
2022-03-15,0.3026352539095647
2022-03-16,0.2912924656457788
2022-03-22,0.29370031295539656
2022-03-23,0.29442642226748345
2022-03-24,0.29661073151593764
2022-03-25,0.29786694554856197
2022-03-29,0.29855051327221127
2022-03-30,0.30910829473147833
2022-03-31,0.31365198345346745
2022-04-01,0.30209733323781857
2022-04-05,0.3058944878813434
2022-04-06,0.2733021025965392
2022-04-07,0.270079785187842
2022-04-08,0.26704448877799736
2022-04-13,0.2620366420366397
2022-04-14,0.26350564980109814
2022-04-20,0.2644463565134538
2022-04-21,0.26253122542034457
2022-04-22,0.25142825537046887
2022-04-26,0.2523008146443295
2022-04-27,0.25115347004723326
2022-04-28,0.2509498452624653
2022-04-29,0.2516047667447293
2022-05-04,0.25341492286726064
2022-05-05,0.2531803005616748
2022-05-06,0.2389914073143702
2022-05-10,0.24039807118495862
2022-05-11,0.22803862205153727
2022-05-12,0.23099535091101886
2022-05-13,0.2358789280163563
2022-05-17,0.23622661007765883
2022-05-18,0.2333486684993096
2022-05-19,0.24069640078331925
2022-05-20,0.24185330796495488
2022-05-24,0.24986369540545303
2022-05-25,0.24510523392460332
2022-06-01,0.24324494939484181
2022-06-08,0.2424278054847149
2022-06-09,0.23472144041608095
2022-06-10,0.20633290648994881
2022-06-14,0.19933893652879436
2022-06-15,0.1922701128789103
2022-06-16,0.20616733966250467
2022-06-17,0.20623520403726855
2022-06-22,0.20184487088103775
2022-06-23,0.19596961991198028
2022-06-24,0.18652975790850768
2022-06-28,0.18528774574961776
2022-06-29,0.1840492804131183
2022-06-30,0.18782041234293398
2022-07-01,0.175540112585812
2022-07-06,0.17185871073770329
2022-07-07,0.1587878231499048
2022-07-08,0.15427923264629054
2022-07-12,0.15259875733231448
2022-07-13,0.15384205450090893
2022-07-19,0.15266333972234358
2022-07-20,0.15219962356548652
2022-07-21,0.15289749474353106
2022-07-22,0.14527310259074083
2022-07-26,0.14569426752186232
2022-07-27,0.14279709616300296
2022-07-28,0.134279308671583
2022-07-29,0.13325517971776027
2022-08-03,0.1360548394296251
2022-08-04,0.13361365567616892
2022-08-05,0.12110904339541104
2022-08-09,0.11830695519003118
2022-08-10,0.1115325252193792
2022-08-11,0.10958846389911585
2022-08-12,0.10849680152786773
2022-08-17,0.09869417751883225
2022-08-18,0.0967530925100276
2022-08-19,0.08759836398018028
2022-08-23,0.08717461647220985
2022-08-24,0.08582318373853463
2022-08-25,0.08496809174680668
2022-08-26,0.08114525975670019
2022-08-31,0.07941978516798266
2022-09-01,0.07437648070438267
2022-09-02,0.06606754082408547
2022-09-07,0.0665104819283148
2022-09-08,0.06821295029501478
2022-09-09,0.06514303759353476
2022-09-13,0.0512793548239922
2022-09-14,0.05070511313624099
2022-09-15,0.04900234347360584
2022-09-16,0.048735742107777535
2022-09-21,0.0485984583829825
2022-09-22,0.031660803279200275
2022-09-23,0.017721776299639662
2022-09-27,0.01603441396832038
2022-09-28,0.01113892577056808
2022-09-29,0.011421760031067884
2022-09-30,0.011387074083305675
2022-10-04,0.0016753063624265227
2022-10-05,-0.000606734392769757
2022-10-06,0.0013911505804538164
2022-10-07,-0.008715091345112778
2022-10-12,-0.006960059947978394
2022-10-13,-0.00947303112894441
2022-10-14,-0.013675810412148685
2022-10-18,-0.01591559827568636
2022-10-19,-0.016104942361490043
2022-10-20,-0.019457559907760415
2022-10-21,-0.021789688675718927
2022-10-25,-0.026673831245613636
2022-10-26,-0.027637706651555866
2022-10-27,-0.02868869989840449
2022-10-28,-0.028354746642768387
2022-11-03,-0.03428176561045286
2022-11-04,-0.03281578643138087
2022-11-08,-0.03556618432570584
2022-11-09,-0.034755762997867076
2022-11-10,-0.06987084549852303
2022-11-15,-0.07063409519655979
2022-11-16,-0.0703502182415126
2022-11-17,-0.06984194697407016
2022-11-18,-0.0663629912025247
2022-11-22,-0.07395802423340174
2022-11-23,-0.07824100205044003
2022-11-29,-0.07780595459033657
2022-11-30,-0.07891420164607564
2022-12-01,-0.08707894360717797
2022-12-02,-0.08572853737884978
2022-12-06,-0.08446240392333099
2022-12-07,-0.08412406299491236
2022-12-08,-0.0863852597557951
2022-12-09,-0.08788944133830526
2022-12-13,-0.10501296888534455
2022-12-14,-0.10711996897581288
2022-12-15,-0.12446595731220614
2022-12-16,-0.12671445245237156
2022-12-20,-0.13171697947102914
2022-12-21,-0.12892362104791066
2022-12-22,-0.13368083790219026
2022-12-23,-0.1388753742267801
2022-12-30,-0.14063825232258365
2023-01-04,-0.1466136129451246
2023-01-05,-0.14763066088433957
2023-01-06,-0.15639669881794147
2023-01-10,-0.15870324219656218
2023-01-11,-0.16384645995882724
2023-01-12,-0.16342406670976872
2023-01-13,-0.16273161533292718
2023-01-18,-0.16433373548562297
2023-01-19,-0.16429424718402788
2023-01-20,-0.16373037825443396
2023-01-24,-0.16495597500552656
2023-01-25,-0.1642972389921215
2023-01-26,-0.170960029941734
2023-01-27,-0.17064589362933877
2023-01-31,-0.17147813463345038
2023-02-01,-0.1709465157064254
