strategie,poids,IS_ret_ann,IS_vol_ann,IS_sharpe,OOS_ret_ann,OOS_vol_ann,OOS_sharpe,OOS_mdd
Max Sharpe,"[22.4%, 70.0%, 7.6%]",0.07200079765992592,0.06577512879100504,1.0946508046940118,0.001410831256688061,0.0581358537557244,0.024267834142697908,-0.17750332465366248
Min Variance,"[5.0%, 70.0%, 25.0%]",0.05188315034985528,0.053848003070654474,0.9635111311700623,-0.02105510986015946,0.05391457642380967,-0.39052722393013434,-0.19104938683772665
Equal Weight,"[33.3%, 33.3%, 33.3%]",0.08206223520651904,0.08810953091882497,0.9313661569952372,0.029441594397467963,0.0617349628498842,0.47690308762408506,-0.15991941936547083
Risk Parity,"[13.2%, 47.7%, 39.1%]",0.059839198147699044,0.06127945156680405,0.9764969597103051,-0.0020829970169780054,0.05074609119457748,-0.041047437702957226,-0.17370340267351225
Max Sharpe Rolling,rolling,,,,0.04080602019240165,0.08217806517168715,0.4965561078512782,-0.1558535756597026
