,portfolio_return_gross,portfolio_return_net_est,portfolio_nav_gross,portfolio_nav_net_est,fee_drag_nav,portfolio_ter_bps_annualized,portfolio_ter_daily_drag,allocation_turnover_daily
2021-02-01,0.007757741616637892,0.007742626968023862,1.007757741616638,1.0077426269680239,1.511464861403411e-05,38.08891450735415,1.5114648614029424e-05,0.0
2021-02-02,0.01435577283094218,0.014340658182328152,1.0222248828239098,1.0221943195171337,3.0563306776087984e-05,38.08891450735415,1.5114648614029424e-05,0.0
2021-02-03,0.001152932532175474,0.0011378178835614447,1.0234034391465168,1.0233573904943551,4.604865216162324e-05,38.08891450735415,1.5114648614029424e-05,0.0
2021-02-04,0.005968543525583327,0.005953428876969297,1.0295116671172946,1.0294498759343842,6.179118291038677e-05,38.08891450735415,1.5114648614029424e-05,0.0
2021-02-05,0.0041008984524203655,0.004085783803806336,1.0337335899197246,1.0336559855643075,7.760435541714905e-05,38.08891450735415,1.5114648614029424e-05,0.0
2021-02-08,0.002301491650445575,0.002286377001831546,1.03611271914571,1.0360193128375073,9.340630820275919e-05,38.08891450735415,1.5114648614029424e-05,0.0
2021-02-09,0.0004679177749027083,0.00045280312628867884,1.036597534703801,1.0364884256212556,0.00010910908254535556,38.08891450735415,1.5114648614029424e-05,0.0
2021-02-10,-0.0014582906635160079,-0.0014734053121300372,1.0350858741971187,1.034961258068984,0.00012461612813474687,38.08891450735415,1.5114648614029424e-05,0.0
2021-02-11,0.0034366329783607026,0.0034215183297466732,1.0386430844478198,1.0385023969840446,0.00014068746377526864,38.08891450735415,1.5114648614029424e-05,0.0
2021-02-12,0.0020922328010480815,0.002077118152434052,1.0408161675776832,1.0406594891641663,0.0001566784135169641,38.08891450735415,1.5114648614029424e-05,0.0
2021-02-15,0.004959598714548985,0.004944484065934955,1.0459781981044833,1.0458050134264025,0.00017318467808080662,38.08891450735415,1.5114648614029424e-05,0.0
2021-02-16,-0.0006494100160153934,-0.0006645246646294229,1.0452989293861006,1.0451100502005877,0.0001888791855129135,38.08891450735415,1.5114648614029424e-05,0.0
2021-02-17,-0.003197469449387119,-0.0032125840980011485,1.0419566179939115,1.041752546272652,0.00020407172125946893,38.08891450735415,1.5114648614029424e-05,0.0
2021-02-18,-0.00294048064050439,-0.0029555952891184194,1.038892764730455,1.0386735473544615,0.0002192173759936189,38.08891450735415,1.5114648614029424e-05,0.0
2021-02-19,0.005198218457381486,0.005183103808767456,1.044293156275317,1.0440571001738204,0.00023605610149668443,38.08891450735415,1.5114648614029424e-05,0.0
2021-02-22,-0.005147999180830171,-0.0051631138294442,1.038917135962265,1.0386665145211835,0.0002506214410815666,38.08891450735415,1.5114648614029424e-05,0.0
2021-02-23,-0.004931816435221763,-0.004946931083835792,1.0337933873562928,1.0335283028547593,0.00026508450153350793,38.08891450735415,1.5114648614029424e-05,0.0
2021-02-24,0.00833433077179115,0.00831921612317712,1.0424093633962106,1.0421264481756285,0.00028291522058210283,38.08891450735415,1.5114648614029424e-05,0.0
2021-02-25,-0.007430209567493351,-0.007445324216107381,1.0346640433710594,1.0343674788947805,0.00029656447627890437,38.08891450735415,1.5114648614029424e-05,0.0
2021-02-26,-0.008374488194031733,-0.008389602842645762,1.0259992615550593,1.0256895465535045,0.0003097150015547445,38.08891450735415,1.5114648614029424e-05,0.0
2021-03-01,0.01190582947920188,0.01188979469169896,1.0382146338089209,1.0378847846794474,0.00032984912947342515,40.40766450735414,1.603478750291831e-05,0.0
2021-03-02,-0.0020620212452176225,-0.0020780560327205407,1.0360738131769112,1.0357280019413755,0.0003458112355356757,40.40766450735414,1.603478750291831e-05,0.0
2021-03-03,-0.0021110255060826457,-0.002127060293585564,1.0338866349311104,1.0335249460334912,0.00036168889761922784,40.40766450735414,1.603478750291831e-05,0.0
2021-03-04,-0.010571728569747188,-0.010587763357250106,1.0229566660547293,1.022582228481074,0.0003744375736554062,40.40766450735414,1.603478750291831e-05,0.0
2021-03-05,-0.0046268509421761245,-0.004642885729679043,1.0182235980405887,1.0178344960450356,0.0003891019955530872,40.40766450735414,1.603478750291831e-05,0.0
2021-03-08,0.018393406703169135,0.018376185655745583,1.0369521987941133,1.0365384117111816,0.00041378708293171584,43.39703950735414,1.7221047423553227e-05,0.0
2021-03-09,0.004845058292380213,0.00482783724495666,1.0419762926436826,1.041542650461069,0.0004336421826136583,43.39703950735414,1.7221047423553227e-05,0.0
2021-03-10,0.0021672570064782725,0.002150035959054719,1.044234523064499,1.0437820046124495,0.00045251845204941077,43.39703950735414,1.7221047423553227e-05,0.0
2021-03-11,0.0077522062341909715,0.007734985186767418,1.052329644444157,1.0518556429563413,0.0004740014878157339,43.39703950735414,1.7221047423553227e-05,0.0
2021-03-12,-0.0023381373328721948,-0.002355358380295748,1.0498691532159938,1.0493781459528426,0.0004910072631512108,43.39703950735414,1.7221047423553227e-05,0.0
2021-03-15,0.003685516326778826,0.0036682952793552727,1.0537384631211528,1.0532275748519,0.0005108882692528294,43.39703950735414,1.7221047423553227e-05,0.0
2021-03-16,0.004946605909677886,0.004929384862254332,1.0589508920300827,1.0584193389158838,0.000531553114198946,43.39703950735414,1.7221047423553227e-05,0.0
2021-03-17,-0.0036532068853528223,-0.0036704279327763756,1.0550823253400679,1.0545344870097362,0.0005478383303316736,43.39703950735414,1.7221047423553227e-05,0.0
2021-03-18,2.5975276732448285e-05,8.754229308895058e-06,1.055109731395444,1.0545437186464495,0.0005660127489945932,43.39703950735414,1.7221047423553227e-05,0.0
2021-03-19,-0.004230310329766481,-0.004247531377190034,1.0506462897996847,1.0500645111128801,0.0005817786868045349,43.39703950735414,1.7221047423553227e-05,0.0
2021-03-22,0.0018094393566780997,0.0017922183092545466,1.0525473705463961,1.0519464559555949,0.0006009145908012492,43.39703950735414,1.7221047423553227e-05,0.0
2021-03-23,-0.0027493284188901054,-0.002766549466313659,1.0496535721483249,1.0490361940492805,0.0006173780990443856,43.39703950735414,1.7221047423553227e-05,0.0
2021-03-24,-0.0025654914219063393,-0.0025827124693298927,1.046960694913005,1.0463268351901311,0.0006338597228738863,43.39703950735414,1.7221047423553227e-05,0.0
2021-03-25,-0.0016887704155052307,-0.0017059914629287839,1.0451926186652392,1.0445418105418633,0.0006508081233758123,43.39703950735414,1.7221047423553227e-05,0.0
2021-03-26,0.007945956361655918,0.007928735314232365,1.053497673602678,1.0528237060822987,0.0006739675203792928,43.39703950735414,1.7221047423553227e-05,0.0
2021-03-29,0.0021384471346697076,0.0021212260872461542,1.0557505226841748,1.0550569831929115,0.0006935394912632731,43.39703950735414,1.7221047423553227e-05,0.0
2021-03-30,0.003864710441663426,0.0038474893942398725,1.059830692752984,1.0591163037460651,0.0007143890069187808,43.39703950735414,1.7221047423553227e-05,0.0
2021-03-31,0.0029337646556656383,0.002916543608242085,1.0629399865803721,1.0622052626321408,0.000734723948231375,43.39703950735414,1.7221047423553227e-05,0.0
2021-04-01,0.004247647669974991,0.0042310169003292155,1.0674549811376937,1.066699471049956,0.0007555100877376653,41.90953950735414,1.663076964577545e-05,0.0
2021-04-02,6.928918736770484e-06,-9.701850909004967e-06,1.067462377446513,1.066689122090723,0.0007732553557899813,41.90953950735414,1.663076964577545e-05,0.0
2021-04-05,-3.321320919208448e-06,-1.99520905649839e-05,1.0674588320613885,1.0666678394127544,0.0007909926486340257,41.90953950735414,1.663076964577545e-05,0.0
