,PDAIEUR LX Equity,EXCRISA LX Equity,LUMNUDE LX Equity
2020-04-23,-0.009706320347449346,0.0005987133009550327,
2020-04-24,-0.009595795982236512,-0.0006010940604856952,
2020-04-28,-0.010076744330219272,-0.0012241244376428343,
2020-04-29,-0.012660569708049005,-0.0012890416016582266,
2020-04-30,-0.01384554339511679,-0.004102353019131939,
2020-05-05,-0.01685787390915382,-0.0035400259021181827,
2020-05-06,-0.0173813440812242,-0.004761243875258791,
2020-05-07,-0.018561166354182066,-0.005244235561314429,
2020-05-08,-0.01858949179758582,-0.005187023503409134,
2020-05-12,-0.0182913684436436,-0.005061016533163651,
2020-05-13,-0.01946927885329224,-0.0054601121349649095,
2020-05-14,-0.0197031840037992,-0.006952362457900529,
2020-05-15,-0.019245109396044506,-0.007067800818366485,
2020-05-19,-0.019406938667742023,-0.007101994330548398,
2020-05-20,-0.019263925266364664,-0.0068354702871460905,0.057387071601463946
2020-05-21,,-0.006488589290500986,
2020-05-22,,-0.006787562110396218,
2020-05-26,-0.01915516212273636,-0.006696323657014465,
2020-05-27,-0.019036263379569034,-0.006753375120799101,0.05598793183155788
2020-05-28,-0.01865747456746567,-0.006628593911774692,0.05396621585389809
2020-05-29,-0.021127287299521593,-0.00428045186270034,0.050334368152208576
2020-06-02,,-0.002534089537387307,
2020-06-03,-0.021847488602787592,-0.0020661902265195074,0.047955394037491085
2020-06-04,-0.021557596872040913,-0.002089832824183121,0.04780254421150678
2020-06-05,-0.025377700075413845,0.0011509128509195128,0.0398595726779391
2020-06-09,-0.026316952514802944,0.0004532770442575145,0.03712073087899587
2020-06-10,-0.027664765423967855,-6.77953982849086e-05,0.0370703501620077
2020-06-11,-0.0350436778798347,-0.000700951210375352,0.026013490301033407
2020-06-12,-0.0355601755586725,-0.001420467301943789,0.026509375338171385
2020-06-16,-0.033337847098317885,-0.0009021807320899689,0.023827275899353944
2020-06-17,-0.033007700826830653,-0.0003671180519320435,0.02393050294680687
2020-06-18,-0.03317260734645219,-0.00013964249206723384,0.023569187214663376
2020-06-19,-0.03296494224333409,-0.00014566807826145748,0.02293296388404076
2020-06-23,,0.0003528133602242786,
2020-06-24,,0.0009580895840183986,
2020-06-25,-0.03303949306184166,0.0011036174490982615,0.0229573743405666
2020-06-26,-0.03326116586507705,0.0007514282849087405,0.023222549680412787
2020-06-30,-0.03278238392415716,0.00044161930670958837,0.023515704182135968
2020-07-01,-0.03275281078446503,0.0004433062289675739,0.024888987895971985
2020-07-02,-0.031231511683584578,0.0014037258864707332,0.024742221796211522
2020-07-03,-0.03119370488109421,0.0015423545089272965,
2020-07-07,-0.031092363376875917,0.0014523662886550574,0.025826561348968213
2020-07-08,-0.03181301719277331,0.0014209548321329612,0.024996822731321495
2020-07-09,-0.03239291878106711,0.001424507657678541,0.024876725121078025
2020-07-10,-0.032385666874668664,0.0016886608127213592,0.023027211735323367
2020-07-14,-0.03041026650772546,0.0027579778518938415,0.023457008253034917
2020-07-15,-0.03034535120530344,0.0031408199859410944,0.022855746615301688
2020-07-16,,0.0029938599898799534,0.021944021866456685
2020-07-17,,0.003012331909350679,0.021982438171871684
2020-07-21,-0.029807851301593847,0.002770894695420723,0.021641822603225766
2020-07-22,-0.030385139604123375,0.0031116804749978257,0.02059494810405996
2020-07-23,-0.03065969113125336,0.0031370472000281065,0.020738557447239122
2020-07-24,-0.027769890911816354,0.004972065771349081,0.021915613971181705
2020-07-28,-0.027763334412599473,0.005222103873258395,0.021917639056371827
2020-07-29,-0.027728235088453495,0.005244092309556657,0.02171742430443957
