,PDAIEUR LX Equity,EXCRISA LX Equity,LUMNUDE LX Equity
2020-07-30,-0.028093656547411753,0.005119428177161132,0.022043261650227707
2020-07-31,-0.028734353047804383,0.005228179984572796,0.021785790243084652
2020-08-04,-0.028824660185487266,0.005105238385059948,0.02163796216092892
2020-08-05,-0.028852424469911167,0.004978785213107546,0.021552885865526342
2020-08-06,-0.028900166692749914,0.004586717546609564,0.021598556826851086
2020-08-07,-0.02911550792323049,0.004147401087786511,0.022719463598832285
2020-08-11,-0.029611138824857792,0.0035204688003597612,0.021275027416234757
2020-08-12,-0.0293700816912698,0.003478317628194478,0.02124115343936187
2020-08-13,-0.02952784225282844,0.0037159963488291297,0.020832113742040914
2020-08-14,-0.029316095892620474,0.0038575484710460153,0.01988934276402158
2020-08-18,-0.02946930343097808,0.003885976295507104,0.019723904242151244
2020-08-19,-0.029279228786843425,0.004083252155787462,0.02021249945208552
2020-08-20,-0.028860516869363244,0.004596625089405872,0.020618515017099267
2020-08-21,-0.028805766580854493,0.0044401232643145995,0.020657456670370188
2020-08-25,-0.028592132908333637,0.0044418689375943995,0.020581097633887838
2020-08-26,-0.028269742010597235,0.004738492938629246,0.021235292734369065
2020-08-27,-0.028636422764775463,0.004294837704535143,0.021229824591612764
2020-08-28,-0.02794153340729099,0.00456164371291364,0.0220455003478101
2020-09-01,-0.02747393002367936,0.0045456018768596,
2020-09-02,-0.027143844457480693,0.00564384853567608,0.021642039286995988
2020-09-03,-0.02478126553507238,0.007214447421855053,0.022886082780497592
2020-09-04,-0.022766043073998175,0.008113907271995728,0.023322530321947508
2020-09-08,-0.022299946550074858,0.00945575426056212,
2020-09-09,-0.0222225902815728,0.009776128606799463,0.022182661835186544
2020-09-10,-0.02233473926167977,0.009734288737820552,0.02192261886728896
2020-09-11,-0.022379562765753692,0.00958866499674065,0.021729910687517208
2020-09-15,-0.022076401394009553,0.008793264077636007,0.020742839746754824
2020-09-16,-0.021715285429276938,0.008705493829315649,0.02068914941396233
2020-09-17,-0.021053773676755087,0.009746231608664079,0.018817575111518575
2020-09-18,-0.021222805660985396,0.010026183594026865,0.018653934790347788
2020-09-22,-0.019712099797735,0.01055242616311487,0.018789652870614886
2020-09-23,-0.01915368568780014,0.010941018635815565,0.02068221794105165
2020-09-24,-0.019504616519166924,0.011524067068172628,0.022413496412845287
2020-09-25,-0.0203091845222175,0.011341570174674295,0.021811049343350302
2020-09-29,-0.020732017369409907,0.01113193916843375,0.02269301895747511
2020-09-30,-0.02038839867423553,0.011543585003768246,0.022234755206067085
2020-10-01,-0.020333150783307503,0.011599623457000822,0.019885649226439154
2020-10-02,-0.020043280131957057,0.011689830227792417,0.019608693108385804
2020-10-06,-0.01984871565851259,0.01160592925944303,0.01974898355980121
2020-10-07,-0.020030669707210243,0.011657532595700194,0.019923909080707274
2020-10-08,-0.020408045314112017,0.011638990622648423,0.017801644480353727
2020-10-09,-0.02018072451631868,0.011869203717183094,0.018624260768242883
2020-10-13,-0.020288931662452218,0.011876887749517522,
2020-10-14,-0.020378546652019058,0.011830038443141249,0.018797195504132346
2020-10-15,-0.02040071715344882,0.01208296987190833,0.02033219621865403
2020-10-16,-0.02055918433835252,0.01226321238946627,0.02063914489188477
2020-10-20,-0.020069895157625223,0.013552224066278862,0.019424192301054032
2020-10-21,-0.020031436610710444,0.013154794442530093,0.019544357666792814
2020-10-22,-0.02016951079183184,0.01307332758046666,0.019851324343423415
2020-10-23,-0.02043056592065518,0.013060922759660953,0.019413247147877833
2020-10-27,-0.020380552398732227,0.012833462174870379,0.019026119155277618
2020-10-28,-0.021472663596451294,0.012969872929637458,0.01926824942097651
2020-10-29,-0.02153573961221355,0.012383664661647666,0.019650166617933482
2020-10-30,-0.020155565488706863,0.010336318743714034,0.01803963408702589
2020-11-03,-0.02098616725832568,0.011508096897391847,0.01835375878102083
2020-11-04,-0.020532151306084004,0.012836194546483593,0.019034286340774077
2020-11-05,-0.02002817279245165,0.011236538520349226,0.018608678807296865
2020-11-06,-0.019844211738508002,0.010991648484684464,0.01838727057017165
2020-11-10,-0.016212726917328932,0.008507386447729358,0.019468303502777635
2020-11-11,-0.01575052061365328,0.00937238831757884,
2020-11-12,-0.01677535811106814,0.009773181017985631,
2020-11-13,-0.01660511883563969,0.009994581663413113,0.01949293911151809
2020-11-17,-0.016737016349667358,0.010192223426553286,0.019593924997540223
2020-11-18,-0.017081249170989538,0.010134403050454665,0.01987215105885611
2020-11-19,-0.016478664414834594,0.010413481953944892,0.020523971221251092
2020-11-20,-0.016116283049580803,0.010404066182101261,0.0209685838064859
2020-11-24,-0.01716590994659698,0.012863390945281515,0.021688773309896374
2020-11-25,-0.01716148397633567,0.012893281839555048,0.02172777226153427
2020-11-26,-0.01744971832003334,0.012359465513162042,
2020-11-27,-0.01609794393909154,0.012428975965832307,
2020-12-01,-0.014992905188272768,0.012667171563785572,0.022409646514538112
2020-12-02,-0.014558760205254475,0.012367644549739772,0.021667400585980687
2020-12-03,-0.014560571816854889,0.012443443989014317,0.022160104323318313
2020-12-04,-0.014205393977919263,0.012914548471938408,0.022737860023438583
2020-12-08,-0.014007887958842101,0.012444087341447568,0.023295637880078365
2020-12-09,-0.01448918389468648,0.01254438187319072,0.022761728084896377
