,core_log_return_oos
2011-01-04,0.0023421944309320823
2011-01-05,0.0027210439468844535
2011-01-06,-0.0009522143329402516
2011-01-07,-0.004229419051759913
2011-01-10,-0.003392224087628826
2011-01-11,0.005080000913650419
2011-01-12,0.002512832704408212
2011-01-13,-0.0017035059744898635
2011-01-14,-0.0009416193737014069
2011-01-17,-0.0013204120947698252
2011-01-18,0.0011559697311876982
2011-01-19,-0.002212120858119721
2011-01-20,-0.003067429506760095
2011-01-21,0.0011076384285227637
2011-01-24,0.002118069398846523
2011-01-25,0.003044795600448067
2011-01-26,0.001688904449110506
2011-01-27,-0.0006219791076687213
2011-01-28,-0.0029504417232903185
2011-01-31,-0.005626822175319961
2011-02-01,0.0047693988254483895
2011-02-02,0.00010599741567996862
2011-02-03,-0.0011521463991211753
2011-02-04,0.003349663816709727
2011-02-07,0.003976679279373675
2011-02-08,0.0017720281913851616
2011-02-09,-0.0023280764276791435
2011-02-10,-0.0017745070005392696
2011-02-11,0.005468244638363219
2011-02-14,-0.0010217805760034796
2011-02-15,-0.0029352586300090892
2011-02-16,0.0053704871062796415
2011-02-17,-0.003141350186339398
2011-02-18,6.498886568100611e-05
2011-02-21,-0.004644387466986535
2011-02-22,-0.0018309475663468983
2011-02-23,-0.004513940090356797
2011-02-24,0.00031275486636734
2011-02-25,0.004720571351144838
2011-02-28,-0.003409724530769052
2011-03-01,-0.00326014906810879
2011-03-02,-0.0025006400962659632
2011-03-03,0.006411730440218558
2011-03-04,-0.002209318003417988
2011-03-07,-0.0022177605101390907
2011-03-08,0.0012309489031148587
2011-03-09,-0.0030787491663622694
2011-03-10,-0.0017590396511445027
2011-03-11,-0.0006301399986377741
2011-03-14,-0.009096939363526155
2011-03-15,-0.001635504590239307
2011-03-16,-0.004448189623280002
2011-03-17,0.007418399984008996
2011-03-18,0.0019128605579910463
2011-03-21,0.006103715850388984
2011-03-22,-0.003728329214883508
2011-03-23,0.0022516148165453473
2011-03-24,0.00982144237990894
2011-03-25,0.004445828941036342
2011-03-28,-0.0007057095628980141
2011-03-29,0.0022913992083643067
2011-03-30,0.004179552152960963
2011-03-31,0.00023339508898083844
2011-04-01,0.0029573684461203786
2011-04-04,-0.0015702343070727487
2011-04-05,-0.004107089972141643
2011-04-06,0.00023307579804865422
2011-04-07,-0.000864249784279503
2011-04-08,0.0016944210095344748
2011-04-11,-0.0001851433536428359
2011-04-12,-0.0033419977365229505
2011-04-13,0.0020165519965513303
2011-04-14,-0.004598488223080377
2011-04-15,0.0025263841215108942
2011-04-18,-0.006968463845044637
2011-04-19,0.0014029232918340018
2011-04-20,0.009844966178391923
2011-04-21,-0.00013829264820048866
2011-04-26,0.0057140333919861955
2011-04-27,-0.0014102691356554509
2011-04-28,0.0026678127758605896
2011-05-03,0.0032727659172915756
2011-05-04,-0.0056071241102106486
2011-05-05,-0.0006364207971639501
2011-05-06,0.00545532215500626
2011-05-09,-0.0025246264906733985
2011-05-10,0.0040702206849621446
2011-05-11,-0.002972399042753393
2011-05-12,0.0002556803942088237
2011-05-13,0.0006925971428038302
2011-05-16,0.00011170277623668846
2011-05-17,-0.004670781155296222
2011-05-18,0.007293642989874228
2011-05-19,5.830612952579812e-05
2011-05-20,-0.0024266212459092885
2011-05-23,-0.005531494417207084
