,portfolio_return
2021-01-01,0.0
2021-01-04,-0.00111422053306815
2021-01-05,0.001462343458316625
2021-01-06,0.0029562285882721497
2021-01-07,0.00411556554041995
2021-01-08,0.002875165587287475
2021-01-11,-0.0003993425733117
2021-01-12,-0.00157503482164595
2021-01-13,0.0019333917415816
2021-01-14,0.001625000274904175
2021-01-15,-0.002258764330411975
2021-01-18,-0.0006052377821825249
2021-01-19,0.000199506138511
2021-01-20,0.0041492658691949
2021-01-21,-0.00135860027166125
2021-01-22,-0.001263465844127975
2021-01-25,0.001123683144221625
2021-01-26,-0.000255338770394275
2021-01-27,-0.005454195875334999
2021-01-28,0.001240648500741825
2021-01-29,-0.0062355978730067995
2021-02-01,0.003316924673982525
2021-02-02,0.007184160181626575
2021-02-03,0.0008914936079317
2021-02-04,0.0024784339764645
2021-02-05,0.0005066093776894499
2021-02-08,0.0011919657356719501
2021-02-09,0.000649804843547625
2021-02-10,-0.001058160069125325
2021-02-11,0.002814692123667275
2021-02-12,-0.00023599580597507503
2021-02-15,0.00125229978034665
2021-02-16,-0.0012229057610601002
2021-02-17,-0.002225400414456075
2021-02-18,-0.0032327702895352
2021-02-19,0.001563971856446175
2021-02-22,-0.001738502423697525
2021-02-23,-0.003824894409010125
2021-02-24,0.001845473393737525
2021-02-25,-0.00581702797669695
2021-02-26,-0.00027355342232202495
2021-03-01,0.007178006030335726
2021-03-02,-0.0030437588658362748
2021-03-03,-0.003111257715352975
2021-03-04,-0.004250729926250975
2021-03-05,-0.00331211250490975
2021-03-08,0.007498288271784526
2021-03-09,0.0036624028019146253
2021-03-10,0.0007545767880786751
2021-03-11,0.00542767131534415
2021-03-12,-0.0011501779477890001
2021-03-15,0.002278436396538675
2021-03-16,0.0019257914695429996
2021-03-17,-0.003013869543586675
2021-03-18,-0.00058781493972625
2021-03-19,-0.0015714074559364
2021-03-22,0.0012458772880149
2021-03-23,-0.000624520723661575
2021-03-24,-0.001066838946848525
2021-03-25,0.00046734671548754995
2021-03-26,0.0047787969769503245
2021-03-29,0.00013658845381065002
2021-03-30,0.0008346410454374751
2021-03-31,0.002605986770244475
2021-04-01,0.0029533229132349004
2021-04-02,0.0
2021-04-05,0.0
2021-04-06,0.00127157236101705
2021-04-07,-0.0010892992698498499
2021-04-08,0.00250900644317845
2021-04-09,-0.0006194721103062501
2021-04-12,-0.00041288100610792496
2021-04-13,-0.000753562650500025
2021-04-14,-0.001025775542264975
2021-04-15,0.0017905425826974502
2021-04-16,0.00047998035234632504
2021-04-19,-0.002628707844093225
2021-04-20,-0.005075809275840025
2021-04-21,0.0037242890333515754
2021-04-22,0.0013811122589438497
2021-04-23,0.0011466066200010998
2021-04-26,0.0005824647258981
2021-04-27,-0.00012764327762512502
2021-04-28,0.0002278707147348501
2021-04-29,-0.0012724994781786
2021-04-30,-0.0011383427427068748
2021-05-03,0.001067677192346175
2021-05-04,-0.0031767315598134503
2021-05-05,0.003771632144207775
2021-05-06,-0.00355310443509875
2021-05-07,0.0029877913227679
2021-05-10,-0.00026653032642210003
2021-05-11,-0.0063730082732349255
2021-05-12,-0.00414865368052235
2021-05-13,-0.0006591124943999
2021-05-14,0.00243658151085855
2021-05-17,-0.001466224816389075
2021-05-18,0.0008473452111791
2021-05-19,-0.004514479039787125
2021-05-20,0.006074844644366874
2021-05-21,0.0017165541526550747
2021-05-24,0.0
2021-05-25,0.001545901915067025
2021-05-26,0.002503919515449525
2021-05-27,0.0012715331434579305
2021-05-28,0.001726314073701475
2021-05-31,-0.0017073532713506251
2021-06-01,0.0009165020462891999
2021-06-02,0.00129764205477943
2021-06-03,-0.00059475234909076
2021-06-04,0.00124746644446039
2021-06-07,-0.00057075220852587
2021-06-08,0.00144324961545687
2021-06-09,-0.00029297767959810006
2021-06-10,0.00011822514957963998
2021-06-11,0.00273686190222904
2021-06-14,-0.00106101958862851
2021-06-15,-0.00061679608154017
2021-06-16,0.0013878901367810497
2021-06-17,-0.00013072579511544976
2021-06-18,-0.00501962297433727
2021-06-21,0.00022719275570761
2021-06-22,0.0016624629448022
2021-06-23,-0.00013597855623537995
2021-06-24,0.0020659021204975994
2021-06-25,0.00010896054946240002
2021-06-28,0.00072067731652931
2021-06-29,0.00208223917529653
2021-06-30,0.0002998642055167998
2021-07-01,0.0013220742137359499
2021-07-02,0.00197026096200692
2021-07-05,0.00013599879477022998
2021-07-06,0.0009824787453766599
2021-07-07,0.0014839377717134
2021-07-08,-0.00525093333595928
2021-07-09,0.00448077005537202
2021-07-12,0.00125211081542302
2021-07-13,0.00183522643385735
2021-07-14,-0.0008181795515333299
2021-07-15,-0.0009583271042291699
2021-07-16,-0.0007236560626369399
2021-07-19,-0.00398780291539721
2021-07-20,0.00416334396570393
2021-07-21,0.00307074761868503
2021-07-22,0.0027130038568956797
2021-07-23,0.0036521418747160897
2021-07-26,-0.00055091440723725
2021-07-27,-0.00240109152930281
2021-07-28,0.00243571986895663
2021-07-29,0.00043762854914641
2021-07-30,-0.00073819167374571
2021-08-02,0.0016320870828433502
2021-08-03,-0.000249913053229425
2021-08-04,0.00129379008643805
2021-08-05,0.002137415537710875
2021-08-06,0.00024734331884055
2021-08-09,0.000434842417106625
2021-08-10,0.001085681661089675
2021-08-11,-0.0005319067339848999
2021-08-12,0.0006682819632491501
2021-08-13,-0.00046995115997397496
2021-08-16,-0.000915789948601725
2021-08-17,0.00027639200818902496
2021-08-18,0.00077645188988195
2021-08-19,-0.002917451839393675
2021-08-20,0.001863813866801975
2021-08-23,0.0011764551135053998
2021-08-24,0.00051525124886575
2021-08-25,-0.00196557947131025
2021-08-26,-0.0015719842263477752
2021-08-27,0.0015488456851778
2021-08-30,0.0016675961713845003
2021-08-31,-0.00238515430233355
2021-09-01,0.00015100924183397495
2021-09-02,0.0018594511620317
2021-09-03,-0.000578782682032025
2021-09-06,0.0017564703567700501
2021-09-07,-0.003241966760925975
2021-09-08,-0.0010769307858642
2021-09-09,0.0027522005434499498
2021-09-10,-0.0025983147989443755
2021-09-13,-0.0001878602212155
2021-09-14,-0.000648204340738625
2021-09-15,-0.001431469216620425
2021-09-16,0.00102734084581275
2021-09-17,-0.0018869978664635
2021-09-20,-0.003927269631102225
2021-09-21,0.002757421927217775
2021-09-22,0.002377301644919025
2021-09-23,0.00148873864703785
2021-09-24,-0.0015948546569669734
2021-09-27,0.00045533560758225
2021-09-28,-0.007269014133348075
2021-09-29,0.002958406242302825
2021-09-30,-0.0009502275871324751
2021-10-01,-0.000752111722303325
2021-10-04,-0.0032326980304161
2021-10-05,0.004154947378816351
2021-10-06,-0.00277226496112485
2021-10-07,0.006582440386833724
2021-10-08,-0.002201745195661825
2021-10-11,-0.000132765805692
2021-10-12,-0.0021842138445888498
2021-10-13,-0.00044394558291325
2021-10-14,0.00707311611027165
2021-10-15,0.0020377573215813504
2021-10-18,-0.0006725163637305
2021-10-19,0.000486784534236925
2021-10-20,0.001070273241454575
2021-10-21,-0.001537080812044875
2021-10-22,-0.0009374458500034749
2021-10-25,0.00241883858096145
2021-10-26,0.0018421955719776749
2021-10-27,-0.00099855349807935
2021-10-28,-0.001614158063885058
2021-10-29,0.000813875506894575
2021-11-01,0.00026383946258730004
2021-11-02,0.0028513781735183
2021-11-03,0.0010137047252527
2021-11-04,0.00248823733456915
2021-11-05,0.0026816371596510504
2021-11-08,-0.0016081915649206499
2021-11-09,-7.737502701850047e-06
2021-11-10,-0.0004033883242757501
2021-11-11,-0.00011356851551409998
2021-11-12,0.002106470325674125
2021-11-15,0.000279160459273575
2021-11-16,0.0025715633896155003
2021-11-17,-0.001333875148318675
2021-11-18,0.0001354741483851
2021-11-19,0.002814507324133925
2021-11-22,-0.0003949164919986
2021-11-23,-0.00575968232710905
2021-11-24,0.002029453253150875
2021-11-25,0.0011502815583203632
2021-11-26,-0.006973205837620676
2021-11-29,0.003215574040535325
2021-11-30,-0.003804841363954225
2021-12-01,0.00249590582760515
2021-12-02,-0.003123009438556525
2021-12-03,-0.0010718037913077499
2021-12-06,0.003454978443044475
2021-12-07,0.00681164506335475
2021-12-08,-0.005020685996066951
2021-12-09,0.0020793653364883998
2021-12-10,-0.0013937670387668
2021-12-13,0.0006100538164464
2021-12-14,-0.0023375197229984746
2021-12-15,0.00092181678377535
2021-12-16,0.0021487481050942005
2021-12-17,-0.0003081602103198499
2021-12-20,-0.00621090711687315
2021-12-21,0.003693926186392675
2021-12-22,0.0017661708653951998
2021-12-23,0.001811176547090575
2021-12-24,-1.658925016588819e-05
2021-12-27,0.001523338290235125
2021-12-28,0.001456732013817675
2021-12-29,-0.0026102704251930752
2021-12-30,0.000960540761162025
2021-12-31,-0.001320489823212
2022-01-03,-0.0023195581877484
2022-01-04,0.001482056860804275
2022-01-05,-0.0014677648076879
2022-01-06,-0.0050978971790917255
2022-01-07,-0.002405905972975475
2022-01-10,-0.0037915222478877002
2022-01-11,0.0021388716647453353
2022-01-12,0.0018443125496125
2022-01-13,-0.000959222932996125
2022-01-14,-0.00463168996864425
2022-01-17,0.001244965497013575
2022-01-18,-0.003990098787064401
2022-01-19,-0.00211024184353085
2022-01-20,0.002465024389062275
2022-01-21,-0.006319048924258475
2022-01-24,-0.01037086866624015
2022-01-25,0.002459557652880275
2022-01-26,0.005286181624580876
2022-01-27,0.002789156216509975
2022-01-28,-0.002694322054122775
2022-01-31,0.0031086931504958996
2022-02-01,0.0021054968493472246
2022-02-02,0.00026485907518017496
2022-02-03,-0.00977982693557635
2022-02-04,-0.00556732708163225
2022-02-07,-0.00042585937754152496
2022-02-08,0.0008796332924675999
2022-02-09,0.00510182219144035
2022-02-10,-0.002988098579552575
2022-02-11,-0.0017491894890561748
2022-02-14,-0.002280030359014275
2022-02-15,0.000887481386964625
2022-02-16,-0.0007405111369840904
2022-02-17,-0.000598982481426525
2022-02-18,-0.0027208052649783246
2022-02-21,-0.003366847357963125
2022-02-22,-0.000550570662930275
2022-02-23,-0.0019019526902205
2022-02-24,-0.0020352527728792
2022-02-25,0.00719787869765955
2022-02-28,0.0038673220185858753
2022-03-01,0.0038889101381610006
2022-03-02,0.00084159238066735
2022-03-03,-0.00022796144242040006
2022-03-04,-2.6808534678475016e-05
2022-03-07,-0.004344414874638825
2022-03-08,-0.0068736549953971
2022-03-09,0.00186451608119225
2022-03-10,-0.006043148064348875
2022-03-11,0.0049256910157486
2022-03-14,-0.006124618331859225
2022-03-15,0.004714621322490876
2022-03-16,0.0029477212879946745
2022-03-17,0.0015103027755626252
2022-03-18,0.0050273870567712
2022-03-21,-0.00158232121252785
2022-03-22,0.0030017742699104746
2022-03-23,0.0001421679232167
2022-03-24,-3.5737723638774974e-05
2022-03-25,0.001188991634403075
2022-03-28,0.000399146386319325
2022-03-29,0.00092408612669515
2022-03-30,-0.002681303955129925
2022-03-31,0.0030870035499636
2022-04-01,-0.0009052067395626249
2022-04-04,0.0038874707675391
2022-04-05,-0.0021857995081047002
2022-04-06,-0.006144793430628725
2022-04-07,-0.0011882716632475498
2022-04-08,0.0027052219403389498
2022-04-11,-0.0062993585167284
2022-04-12,0.0013623641754981252
2022-04-13,-0.000608572446867825
2022-04-14,0.000670512183132875
2022-04-15,0.0
2022-04-18,0.0
2022-04-19,-0.0017030257091019
2022-04-20,0.0013428174542656998
2022-04-21,-0.0019665219479541
2022-04-22,-0.008638074470879374
2022-04-25,-0.00136859598031365
2022-04-26,-0.0005702295366205
2022-04-27,0.002144660406757425
2022-04-28,0.0005729556329308
2022-04-29,-0.001226873772260675
2022-05-02,-0.006134115105494475
